0,0,0,-44.9997
0.0005,0.0445,4.0464,-44.9976
0.0015,0.104,6.2207,-44.9925
0.0031,0.1682,6.7364,-44.9836
0.0055,0.2346,6.4595,-44.9699
0.0084,0.3039,7.1656,-44.9518
0.0122,0.3695,6.4827,-44.9293
0.0165,0.4388,6.9681,-44.9019
0.0216,0.5061,6.7153,-44.8701
0.0273,0.5744,6.8968,-44.8338
0.0338,0.6414,6.6214,-44.7927
0.0408,0.7111,7.0659,-44.7471
0.0486,0.7772,6.5754,-44.6971
0.057,0.8465,6.9612,-44.6422
0.0662,0.9138,6.7472,-44.5828
0.076,0.9821,6.8143,-44.5185
0.0865,1.0504,6.821,-44.4494
0.0978,1.119,6.8275,-44.3754
0.1096,1.1879,6.9194,-44.2969
0.1221,1.2555,6.7773,-44.2138
0.1353,1.3239,6.8449,-44.1258
0.1493,1.392,6.7713,-44.0325
0.164,1.462,7.0022,-43.9342
0.1792,1.53,6.8062,-43.8314
0.1952,1.5986,6.8743,-43.7236
0.2119,1.6673,6.8821,-43.6108
0.2293,1.7357,6.8128,-43.4926
0.2473,1.8059,7.0379,-43.3694
0.266,1.8736,6.7693,-43.2412
0.2855,1.9434,6.977,-43.1076
0.3056,2.0125,6.9249,-42.9689
0.3264,2.0812,6.8585,-42.8248
0.3479,2.1513,7.0045,-42.6752
0.3701,2.2206,6.9526,-42.5206
0.393,2.2895,6.8874,-42.3604
0.4166,2.3593,6.9591,-42.1944
0.4409,2.4297,7.043,-42.0229
0.4659,2.4989,6.9176,-41.8458
0.4916,2.5694,7.0625,-41.6632
0.5179,2.6387,6.937,-41.4751
0.545,2.7088,7.0089,-41.2811
0.5728,2.779,7.0188,-41.0811
0.6013,2.8493,7.0286,-40.8752
0.6305,2.9197,7.0381,-40.6634
0.6604,2.9901,7.0474,-40.4456
0.691,3.0607,7.0563,-40.2219
0.7223,3.1307,6.9937,-39.992
0.7543,3.2027,7.2075,-39.756
0.787,3.2721,6.9471,-39.5142
0.8205,3.343,7.0798,-39.2657
0.8547,3.4146,7.1576,-39.011
0.8895,3.4855,7.1011,-38.7504
0.9251,3.5553,6.9655,-38.4832
0.9613,3.6282,7.3069,-38.2099
0.9983,3.6974,6.9109,-37.9304
1.036,3.7698,7.242,-37.6444
1.0744,3.8396,6.9782,-37.352
1.1135,3.912,7.2434,-37.0533
1.1534,3.9819,6.9777,-36.7482
1.1938,4.0541,7.2393,-36.4369
1.2351,4.1239,6.9711,-36.1195
1.277,4.1954,7.1595,-35.7956
1.3197,4.2657,7.0207,-35.4654
1.3631,4.3372,7.1419,-35.129
1.4072,4.4078,7.0676,-34.7868
1.4519,4.4776,6.9855,-34.4386
1.4975,4.548,7.0314,-34.0843
1.5436,4.6188,7.0797,-33.7242
1.5905,4.6881,6.929,-33.3587
1.6381,4.7577,6.9664,-32.9875
1.6863,4.8277,7.0052,-32.6111
1.7353,4.8956,6.7815,-32.2294
1.785,4.965,6.9355,-31.8424
1.8353,5.034,6.9025,-31.4509
1.8863,5.1007,6.6722,-31.0549
1.938,5.1694,6.8766,-30.6546
1.9904,5.2353,6.5817,-30.2503
2.0434,5.3024,6.7122,-29.842
2.0971,5.3684,6.5975,-29.4304
2.1514,5.4338,6.538,-29.0159
2.2064,5.4985,6.4746,-28.5987
2.262,5.562,6.3471,-28.1791
2.3182,5.6264,6.4523,-27.7576
2.3751,5.6879,6.1457,-27.3347
2.4326,5.7503,6.237,-26.9106
2.4907,5.8112,6.0984,-26.486
2.5495,5.8709,5.9556,-26.0611
2.6088,5.9311,6.0301,-25.6367
2.6687,5.9884,5.7206,-25.2134
2.7291,6.0467,5.8355,-24.7916
2.7902,6.102,5.5269,-24.3719
2.8517,6.1583,5.6282,-23.9549
2.9138,6.212,5.372,-23.5413
2.9765,6.2651,5.3131,-23.1316
3.0397,6.3171,5.2029,-22.7263
3.1034,6.3685,5.1375,-22.3262
3.1676,6.4178,4.9326,-21.932
3.2322,6.4669,4.907,-21.5443
3.2973,6.5144,4.7478,-21.1639
3.3629,6.5603,4.5909,-20.7912
3.429,6.6059,4.5565,-20.4268
3.4955,6.6499,4.401,-20.0715
3.5624,6.6931,4.3233,-19.7263
3.6298,6.7341,4.1013,-19.3913
3.6975,6.7757,4.1635,-19.0676
3.7657,6.8143,3.8515,-18.7555
3.8342,6.8536,3.9361,-18.4557
3.9031,6.8904,3.6761,-18.169
3.9724,6.927,3.6619,-17.8956
4.042,6.9623,3.5333,-17.6364
4.112,6.9969,3.4614,-17.3919
4.1823,7.0302,3.3204,-17.1626
4.2529,7.0629,3.2771,-16.949
4.3238,7.0946,3.1702,-16.7516
4.395,7.1103,1.5638,-16.571
4.4653,7.0338,-7.6506,-16.4088
4.5347,6.9397,-9.4058,-16.266
4.6031,6.8468,-9.2899,-16.1421
4.6707,6.7547,-9.2174,-16.0366
4.7373,6.6637,-9.0974,-15.9489
4.8031,6.5738,-8.9889,-15.8782
4.868,6.4849,-8.8797,-15.8241
4.9319,6.3972,-8.772,-15.7859
4.995,6.3106,-8.6658,-15.7629
5.0573,6.225,-8.5568,-15.7546
5.1187,6.1406,-8.4459,-15.7603
5.1792,6.0572,-8.337,-15.7794
5.239,5.9748,-8.2399,-15.8113
5.2979,5.8936,-8.1241,-15.8554
5.356,5.8133,-8.0353,-15.9111
5.4134,5.7341,-7.9046,-15.9779
5.4699,5.6556,-7.858,-16.0551
5.5257,5.5786,-7.6953,-16.1422
5.5807,5.5021,-7.6565,-16.2387
5.635,5.4268,-7.5279,-16.3439
5.6886,5.3523,-7.4474,-16.4576
5.7413,5.2785,-7.3791,-16.5789
5.7934,5.206,-7.2594,-16.7076
5.8447,5.1341,-7.1896,-16.843
5.8953,5.063,-7.1085,-16.9849
5.9453,4.9927,-7.0298,-17.1326
5.9945,4.9231,-6.9535,-17.2859
6.043,4.8543,-6.8798,-17.4441
6.0909,4.7863,-6.8085,-17.607
6.1381,4.7189,-6.7396,-17.7741
6.1847,4.6524,-6.6441,-17.9451
6.2305,4.5858,-6.6616,-18.1195
6.2757,4.5208,-6.4933,-18.297
6.3203,4.4557,-6.5124,-18.4773
6.3642,4.3917,-6.3988,-18.6602
6.4075,4.3277,-6.4023,-18.8451
6.4501,4.2645,-6.3241,-19.0318
6.4921,4.2021,-6.2391,-19.22
6.5336,4.1398,-6.2183,-19.4096
6.5743,4.0778,-6.2084,-19.6001
6.6145,4.0168,-6.0989,-19.7913
6.6541,3.9559,-6.0863,-19.9831
6.693,3.8951,-6.0845,-20.175
6.7314,3.8357,-5.9383,-20.367
6.7691,3.7753,-6.0431,-20.5589
6.8063,3.7166,-5.8652,-20.7504
6.8428,3.6569,-5.9782,-20.9413
6.8788,3.5988,-5.7991,-21.1315
6.9142,3.54,-5.878,-21.3208
6.949,3.4819,-5.8162,-21.509
6.9832,3.4241,-5.7899,-21.6958
7.0169,3.3668,-5.7217,-21.8813
7.0501,3.3094,-5.7333,-22.0656
7.0826,3.2518,-5.7552,-22.2482
7.1145,3.1949,-5.6984,-22.4288
7.1459,3.1386,-5.6335,-22.6075
7.1768,3.082,-5.6518,-22.7844
7.207,3.0253,-5.6807,-22.959
7.2366,2.9695,-5.5802,-23.1314
7.2658,2.9135,-5.6029,-23.3015
7.2944,2.8576,-5.5886,-23.4694
7.3224,2.8018,-5.5753,-23.6348
7.3498,2.7462,-5.5628,-23.7977
7.3767,2.6907,-5.5513,-23.958
7.4032,2.6356,-5.4913,-24.1159
7.4289,2.5795,-5.6203,-24.2709
7.4541,2.5248,-5.4812,-24.4229
7.4789,2.4701,-5.4624,-24.5721
7.503,2.4147,-5.5458,-24.7186
7.5266,2.3602,-5.4464,-24.8623
7.5497,2.3048,-5.5322,-25.003
7.5721,2.2501,-5.4854,-25.1405
7.5941,2.1958,-5.4271,-25.275
7.6155,2.1411,-5.4631,-25.4067
7.6364,2.086,-5.512,-25.5353
7.6567,2.0318,-5.4121,-25.6606
7.6765,1.9769,-5.505,-25.7828
7.6958,1.9232,-5.3495,-25.9019
7.7144,1.8678,-5.541,-26.018
7.7325,1.8134,-5.4545,-26.1304
7.7501,1.76,-5.339,-26.2398
7.7672,1.7051,-5.4782,-26.3462
7.7837,1.6503,-5.4918,-26.4491
7.7997,1.5968,-5.331,-26.5489
7.8151,1.5416,-5.533,-26.6453
7.8299,1.4878,-5.3865,-26.7383
7.8443,1.434,-5.3684,-26.8282
7.8581,1.3792,-5.4704,-26.915
7.8713,1.3245,-5.4897,-26.9982
7.884,1.2712,-5.3206,-27.078
7.8962,1.2166,-5.47,-27.1547
7.9078,1.1624,-5.4266,-27.228
7.9189,1.1085,-5.3607,-27.2981
7.9295,1.0537,-5.4692,-27.365
7.9395,0.9994,-5.4264,-27.4284
7.9489,0.9452,-5.4276,-27.4884
7.9578,0.8912,-5.4293,-27.5449
7.9662,0.8376,-5.3567,-27.5982
7.9741,0.7831,-5.3976,-27.6484
7.9813,0.728,-5.5527,-27.6952
7.9881,0.6748,-5.3093,-27.7384
7.9943,0.6203,-5.4795,-27.7784
7.9999,0.5666,-5.35,-27.815
8.0051,0.512,-5.4822,-27.8484
8.0097,0.4581,-5.3442,-27.8785
8.0137,0.4033,-5.4854,-27.9053
8.0172,0.3492,-5.3334,-27.9288
8.0202,0.2941,-5.4875,-27.9489
8.0226,0.24,-5.4646,-27.9655
8.0245,0.1863,-5.3129,-27.9788
8.0257,0.1317,-5.5413,-27.9888
8.0266,0.0775,-5.2255,-27.9954
8.0268,0.0227,-5.7098,-27.9987